Date (GMT),Symbol,Amount,Trade Type,Price
03/06/21 14:47:59,ETHUSDT,0.05,BUY,1623.89
03/06/21 14:56:59,ETHUSDT,0.05,SELL,1620.73
03/06/21 17:35:59,ETHUSDT,0.05,BUY,1666.5
03/06/21 18:05:59,ETHUSDT,0.05,SELL,1661.79
03/06/21 19:14:59,ETHUSDT,0.05,BUY,1679.18
03/06/21 19:38:59,ETHUSDT,0.05,SELL,1672.34
03/06/21 20:53:59,ETHUSDT,0.05,SELL,1647.55
03/06/21 20:56:59,ETHUSDT,0.05,BUY,1650.13
03/06/21 22:56:59,ETHUSDT,0.05,SELL,1644.52
03/06/21 22:59:59,ETHUSDT,0.05,BUY,1648.73
03/07/21 00:41:59,ETHUSDT,0.05,BUY,1665.43
03/07/21 00:53:59,ETHUSDT,0.05,SELL,1662.01
03/07/21 04:50:59,ETHUSDT,0.05,BUY,1678.9
03/07/21 05:11:59,ETHUSDT,0.05,SELL,1680.84
03/07/21 05:41:59,ETHUSDT,0.05,SELL,1671.89
03/07/21 06:32:59,ETHUSDT,0.05,BUY,1675.67
03/07/21 11:02:59,ETHUSDT,0.05,BUY,1662.25
03/07/21 11:59:59,ETHUSDT,0.05,SELL,1668.91
03/07/21 13:50:59,ETHUSDT,0.05,SELL,1663.16
03/07/21 14:26:59,ETHUSDT,0.05,BUY,1648.82
03/07/21 20:44:59,ETHUSDT,0.05,SELL,1731.94
03/07/21 20:59:59,ETHUSDT,0.05,BUY,1736.55
03/07/21 23:53:59,ETHUSDT,0.05,BUY,1727.17
03/08/21 00:35:59,ETHUSDT,0.05,SELL,1740.93
03/08/21 04:44:59,ETHUSDT,0.05,BUY,1689.25
03/08/21 05:05:59,ETHUSDT,0.05,SELL,1687.11
03/08/21 07:47:59,ETHUSDT,0.05,SELL,1704.98
03/08/21 08:02:59,ETHUSDT,0.05,BUY,1713.74
03/08/21 09:44:59,ETHUSDT,0.05,BUY,1742.5
03/08/21 09:50:59,ETHUSDT,0.05,SELL,1733.74
03/08/21 13:23:59,ETHUSDT,0.05,BUY,1747.42
03/08/21 13:38:59,ETHUSDT,0.05,SELL,1737.9
03/08/21 16:20:59,ETHUSDT,0.05,BUY,1787.35
03/08/21 16:29:59,ETHUSDT,0.05,SELL,1782.75
03/08/21 17:29:59,ETHUSDT,0.05,SELL,1776.12
03/08/21 17:53:59,ETHUSDT,0.05,BUY,1787.65
03/08/21 22:20:59,ETHUSDT,0.05,BUY,1852.35
03/08/21 22:38:59,ETHUSDT,0.05,SELL,1846.02
03/09/21 00:53:59,ETHUSDT,0.05,SELL,1836.47
03/09/21 00:59:59,ETHUSDT,0.05,BUY,1841.67
03/09/21 01:47:59,ETHUSDT,0.05,SELL,1830.34
03/09/21 01:56:59,ETHUSDT,0.05,BUY,1829.73
03/09/21 07:20:59,ETHUSDT,0.05,SELL,1819.89
03/09/21 07:29:59,ETHUSDT,0.05,BUY,1821.88
03/09/21 10:14:59,ETHUSDT,0.05,SELL,1816.37
